straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Seranggracht,34,,,Amsterdam,1019PM,94,woonfunctie,Seranggracht 34   1019PM Amsterdam
Makkum,20,,,Beilen,9411TJ,385,woonfunctie,Makkum 20   9411TJ Beilen
Flettine,3,,,Leerdam,4142 RT,148,woonfunctie,Flettine 3   4142 RT Leerdam
Beatrixpark,39,,,'s-Hertogenbosch,5224HX,149,woonfunctie,Beatrixpark 39   5224HX 's-Hertogenbosch
Dorpsstraat,29,,,Lunteren,6741AA,134,woonfunctie,Dorpsstraat 29   6741AA Lunteren
Orchideestraat,23,,,Groningen,9731 GA,122,woonfunctie,Orchideestraat 23   9731 GA Groningen
Jan van Schaffelaarplantsoen,16,,,Amsterdam,1061DN,72,woonfunctie,Jan van Schaffelaarplantsoen 16   1061DN Amsterdam
Mr. D. van Ruijvenpad,23,,,Arnhem,6814NA,101,woonfunctie,Mr. D. van Ruijvenpad 23   6814NA Arnhem
Kochstraat,23,,,Assen,9406 BR,74,woonfunctie,Kochstraat 23   9406 BR Assen
Kortvoort,3,,,Amsterdam,1104NA,72,woonfunctie,Kortvoort 3   1104NA Amsterdam
Dr. Willem Dreessingel,149,,,Arnhem,6836 CS,90,woonfunctie,Dr. Willem Dreessingel 149   6836 CS Arnhem
Boslaan,1,,R47,Gramsbergen,7783 DD,68,logiesfunctie,Boslaan 1  R47 7783 DD Gramsbergen
Arentsburg,100,,,Dordrecht,3328 TD,136,woonfunctie,Arentsburg 100   3328 TD Dordrecht
Groningerstraat,38,,,Midlaren,9475 PB,339,woonfunctie,Groningerstraat 38   9475 PB Midlaren
C.J.van Houtenlaan,19,,,Weesp,1381CN,141,woonfunctie,C.J.van Houtenlaan 19   1381CN Weesp
Tichelwerk,26,,,Makkum,8754 CB,124,woonfunctie,Tichelwerk 26   8754 CB Makkum
De Veenhuis,6,,,Nijkerk,3861MN,141,woonfunctie,De Veenhuis 6   3861MN Nijkerk
Meibergdreef,564,,,Amsterdam,1105 AX,26,woonfunctie,Meibergdreef 564   1105 AX Amsterdam
Zandtangerweg,25,,,Mussel,9584AL,170,woonfunctie,Zandtangerweg 25   9584AL Mussel
Verzetsplein,30,,,Borne,7622 DX,173,woonfunctie,Verzetsplein 30   7622 DX Borne
Ina Boudier-Bakkerstraat,7,,,Vianen,4132XN,104,woonfunctie,Ina Boudier-Bakkerstraat 7   4132XN Vianen
Mackaystraat,50,,,Schiedam,3119 RD,80,woonfunctie,Mackaystraat 50   3119 RD Schiedam
Fientje Brouwersstraat,14,,,'s-Hertogenbosch,5221JM,148,woonfunctie,Fientje Brouwersstraat 14   5221JM 's-Hertogenbosch
Esdoornstraat,4,,,Kerkrade,6464 XH,113,woonfunctie,Esdoornstraat 4   6464 XH Kerkrade
Johan de Wittlaan,12,,014,Barneveld,3771HP,50,woonfunctie,Johan de Wittlaan 12  014 3771HP Barneveld
Grote Haarsekade,67,,,Gorinchem,4205VK,108,woonfunctie,Grote Haarsekade 67   4205VK Gorinchem
Frederik Hendrikstraat,70,,,Amsterdam,1052HX,102,woonfunctie,Frederik Hendrikstraat 70   1052HX Amsterdam
Veenoord,430,,,Rotterdam,3079NP,57,woonfunctie,Veenoord 430   3079NP Rotterdam
Kalverkampen,22,,,Spier,9417TH,135,woonfunctie,Kalverkampen 22   9417TH Spier
Frans Erensstraat,6,,,'s-Hertogenbosch,5216 TL,55,woonfunctie,Frans Erensstraat 6   5216 TL 's-Hertogenbosch
De Dintel,59,,,Veghel,5463 NS,136,woonfunctie,De Dintel 59   5463 NS Veghel
Westerbleek,16,,,Lochem,7241BN,113,woonfunctie,Westerbleek 16   7241BN Lochem
Van den Vondellaan,32,A,,Driehuis NH,,49,overige gebruiksfunctie,Van den Vondellaan 32 A   Driehuis NH
Burgemeester Bruntstraat,5,,,Nieuwerbrug aan den Rijn,2415AJ,95,woonfunctie,Burgemeester Bruntstraat 5   2415AJ Nieuwerbrug aan den Rijn
Schoolstraat,18,,,Strijen,3291AV,103,woonfunctie,Schoolstraat 18   3291AV Strijen
Kostersgang,4,,,Groningen,9711 CX,96,woonfunctie,Kostersgang 4   9711 CX Groningen
Van Akenstraat,2,,,Geleen,6164 BC,108,woonfunctie,Van Akenstraat 2   6164 BC Geleen
Achter de Muren Zandpoort,2,C,,Deventer,7411 GE,110,woonfunctie,Achter de Muren Zandpoort 2 C  7411 GE Deventer
Klimopstraat,12,k,2,Maasbracht,6051MW,59,woonfunctie,Klimopstraat 12 k 2 6051MW Maasbracht
Nieuwe Deventerweg,103,G,10,Zwolle,8014 AE,26,overige gebruiksfunctie,Nieuwe Deventerweg 103 G 10 8014 AE Zwolle
Wibautstraat,68,B,,Amsterdam,1091GN,70,woonfunctie,Wibautstraat 68 B  1091GN Amsterdam
1e Lulofsdwarsstraat,10,R,,'s-Gravenhage,2521AZ,78,woonfunctie,1e Lulofsdwarsstraat 10 R  2521AZ 's-Gravenhage
Marktstraat,3,a,,Scherpenzeel,3925 JN,193,bijeenkomstfunctie,Marktstraat 3 a  3925 JN Scherpenzeel
Heerenvliet,15,,,Wateringen,2291 CZ,123,woonfunctie,Heerenvliet 15   2291 CZ Wateringen
Olivierstraat,13,,,Haarlem,2021BL,82,woonfunctie,Olivierstraat 13   2021BL Haarlem
Harriet Freezerstraat,20,,,Amsterdam,1103 MS,99,woonfunctie,Harriet Freezerstraat 20   1103 MS Amsterdam
Pasar Malamstraat,641,,,Almere,1336NG,31,woonfunctie,Pasar Malamstraat 641   1336NG Almere
Zoeterwoudseweg,3,,,Leiden,2321GL,1237,kantoorfunctie,Zoeterwoudseweg 3   2321GL Leiden
Zuiderkruisstraat,74,,0201,IJmuiden,1973XM,45,woonfunctie,Zuiderkruisstraat 74  0201 1973XM IJmuiden
IJselstraat,32,F,,Amsterdam,1078CJ,80,woonfunctie,IJselstraat 32 F  1078CJ Amsterdam
Gerberasingel,5,,,Berkel en Rodenrijs,2651XV,120,woonfunctie,Gerberasingel 5   2651XV Berkel en Rodenrijs
Churchilllaan,11,,,Maastricht,6226CS,125,woonfunctie,Churchilllaan 11   6226CS Maastricht
Einderstraat,7,B,,Heerlen,6414NG,211,woonfunctie,Einderstraat 7 B  6414NG Heerlen
Oranjestraat,17,,,Heeswijk-Dinther,5473EV,116,woonfunctie,Oranjestraat 17   5473EV Heeswijk-Dinther
Oostenburgermiddenstraat,621,,,Amsterdam,1018 LH,57,woonfunctie,Oostenburgermiddenstraat 621   1018 LH Amsterdam
Uranusbaan,5,,,Franeker,8802 BH,132,woonfunctie,Uranusbaan 5   8802 BH Franeker
Prinses Irenestraat,53,a,9,Elst,6661 EA,106,woonfunctie,Prinses Irenestraat 53 a 9 6661 EA Elst
Bullewijkpad,154,,,Amsterdam,1101CV,73,woonfunctie,Bullewijkpad 154   1101CV Amsterdam
Raccordement,132,,,Twello,7391BT,167,woonfunctie,Raccordement 132   7391BT Twello
Maarsbergenstraat,332,,,'s-Gravenhage,2546SW,82,woonfunctie,Maarsbergenstraat 332   2546SW 's-Gravenhage
Rozemarijnstraat,18,,,Philippine,4553 AG,196,woonfunctie,Rozemarijnstraat 18   4553 AG Philippine
Donatusstraat,45,,GA28,Nuth,,12,overige gebruiksfunctie,Donatusstraat 45  GA28  Nuth
Guardini-Nes,14,,,Bergen (NH),1862AJ,160,woonfunctie,Guardini-Nes 14   1862AJ Bergen (NH)
Nieuwveens Jaagpad,112,,,Nieuwveen,2441GD,173,industriefunctie,Nieuwveens Jaagpad 112   2441GD Nieuwveen
Ommedijk,159,,,Leiderdorp,2353 GP,52,woonfunctie,Ommedijk 159   2353 GP Leiderdorp
Winkelhaak,7,,,Baarle-Nassau,5111 PX,1144,industriefunctie,Winkelhaak 7   5111 PX Baarle-Nassau
Ruychtpad,15,,,Waspik,5165BG,170,woonfunctie,Ruychtpad 15   5165BG Waspik
Slenkstraat,37,,GR21,IJsselmuiden,8271TA,12,overige gebruiksfunctie,Slenkstraat 37  GR21 8271TA IJsselmuiden
Olof Palmeborg,186,,,Schiedam,3124 TS,160,woonfunctie,Olof Palmeborg 186   3124 TS Schiedam
Dorpstienden,2,,,Ouddorp,3253AS,203,woonfunctie,Dorpstienden 2   3253AS Ouddorp
Weegschaal,13,,,Bilthoven,3721WL,72,woonfunctie,Weegschaal 13   3721WL Bilthoven
Beekforel,6,,,Rossum,5328BV,125,woonfunctie,Beekforel 6   5328BV Rossum
Hendrik van Viandenstraat,4,,,Kampen,8266DP,130,woonfunctie,Hendrik van Viandenstraat 4   8266DP Kampen
Nieuwe Maanderbuurtweg,1260,,,Ede,6717BL,40,woonfunctie,Nieuwe Maanderbuurtweg 1260   6717BL Ede
Lantmanstraat,9,,,Borne,7622 KT,95,woonfunctie,Lantmanstraat 9   7622 KT Borne
Burgemeester Sweenslaan,19,,,Leidschendam,2262BN,150,winkelfunctie,Burgemeester Sweenslaan 19   2262BN Leidschendam
Hammarskjöldhof,8,,,Utrecht,3527 HE,141,winkelfunctie,Hammarskjöldhof 8   3527 HE Utrecht
William Barlowlaan,34,,,Amsterdam,1086ZR,141,woonfunctie,William Barlowlaan 34   1086ZR Amsterdam
Dorpsstraat,199,,,Harskamp,6732 AD,494,winkelfunctie,Dorpsstraat 199   6732 AD Harskamp
Drie Kolommenplein,97,,,Aalsmeer,1431 LB,128,woonfunctie,Drie Kolommenplein 97   1431 LB Aalsmeer
Wieldrechtse Zeedijk,102,,,Dordrecht,3316ER,116,woonfunctie,Wieldrechtse Zeedijk 102   3316ER Dordrecht
Pater van den Elzenstraat,6,,,Waalwijk,5142 SH,103,woonfunctie,Pater van den Elzenstraat 6   5142 SH Waalwijk
Van Daatselaarhof,6,,,Leusden,3833 HV,132,woonfunctie,Van Daatselaarhof 6   3833 HV Leusden
Goudsesingel,390,,,Rotterdam,3011KN,72,woonfunctie,Goudsesingel 390   3011KN Rotterdam
Waterlinie,142,,,Sleeuwijk,4254 VA,104,woonfunctie,Waterlinie 142   4254 VA Sleeuwijk
Jan Verfailleweg,156,,,Den Helder,1783BG,85,woonfunctie,Jan Verfailleweg 156   1783BG Den Helder
Oudelandsedijk,22,,,Tholen,4691 RR,235,woonfunctie,Oudelandsedijk 22   4691 RR Tholen
Zeegat,112,,,Hellevoetsluis,3224SL,75,woonfunctie,Zeegat 112   3224SL Hellevoetsluis
Borgerbrink,4,,,Emmen,7812NC,158,woonfunctie,Borgerbrink 4   7812NC Emmen
Brouwerijstraat,18,,,Wijlre,6321AG,170,winkelfunctie,Brouwerijstraat 18   6321AG Wijlre
Prunuslaan,24,,,Leusden,3833AT,70,woonfunctie,Prunuslaan 24   3833AT Leusden
Circusroos,67,,,Venray,5803 CG,78,woonfunctie,Circusroos 67   5803 CG Venray
Beijerlandselaan,178,B,02,Rotterdam,3074 ES,58,woonfunctie,Beijerlandselaan 178 B 02 3074 ES Rotterdam
Weezenhof,3283,,,Nijmegen,6536GH,79,woonfunctie,Weezenhof 3283   6536GH Nijmegen
Burgemeester Caan van Necklaan,95,,,Leidschendam,2262 GD,76,woonfunctie,Burgemeester Caan van Necklaan 95   2262 GD Leidschendam
Betsy Perk,211,,,Hoorn,1628 PE,69,woonfunctie,Betsy Perk 211   1628 PE Hoorn
"Hoogerwerfsweg ""De elf Boompjes""",30,,,Bruinisse,4311NR,126,logiesfunctie,"Hoogerwerfsweg ""De elf Boompjes"" 30   4311NR Bruinisse"
Stationsweg,31,,,Hoorn,1621 HZ,74,woonfunctie,Stationsweg 31   1621 HZ Hoorn
Reigerlaan,52,,,Noordwijkerhout,2211LH,119,woonfunctie,Reigerlaan 52   2211LH Noordwijkerhout
Lijnbaan,198,,,Dordrecht,,10283,overige gebruiksfunctie,Lijnbaan 198    Dordrecht
J.M.P.de Biestraat,23,,,Alkmaar,1827 PA,96,woonfunctie,J.M.P.de Biestraat 23   1827 PA Alkmaar
Cambridgelaan,1845,,,Utrecht,3584 DW,20,woonfunctie,Cambridgelaan 1845   3584 DW Utrecht
Hollands End,99,,,Ankeveen,1244NP,226,woonfunctie,Hollands End 99   1244NP Ankeveen
Keiweg,9,B,,Oosterhout,4901JD,100,winkelfunctie,Keiweg 9 B  4901JD Oosterhout
Bloemendaal,139,,,Bergen op Zoom,4614CZ,81,woonfunctie,Bloemendaal 139   4614CZ Bergen op Zoom
Barbeelsingel,24,,,Hoogvliet Rotterdam,3192 BA,86,kantoorfunctie,Barbeelsingel 24   3192 BA Hoogvliet Rotterdam
Horlo,47,,,Zeewolde,3891BK,76,woonfunctie,Horlo 47   3891BK Zeewolde
Haarlemmermeerstraat,46,,1,Amsterdam,1058KB,68,woonfunctie,Haarlemmermeerstraat 46  1 1058KB Amsterdam
Bevert,30,,,Vroomshoop,7681ZG,82,woonfunctie,Bevert 30   7681ZG Vroomshoop
Nieuwe Laan,87,A,,Amsterdam,1068CA,49,woonfunctie,Nieuwe Laan 87 A  1068CA Amsterdam
Vinkensteynstraat,10,A,,'s-Gravenhage,2562 TR,83,woonfunctie,Vinkensteynstraat 10 A  2562 TR 's-Gravenhage
Tweede Jacob van Campenstraat,118,,1,Amsterdam,1073 XX,50,woonfunctie,Tweede Jacob van Campenstraat 118  1 1073 XX Amsterdam
Granietgroen,203,,,Zoetermeer,2718 GG,70,woonfunctie,Granietgroen 203   2718 GG Zoetermeer
Wilhelminalaan,2,,3,Zuidhorn,9801 BD,108,woonfunctie,Wilhelminalaan 2  3 9801 BD Zuidhorn
Roggestraat,13,,,Zuidwolde,7921 CM,107,woonfunctie,Roggestraat 13   7921 CM Zuidwolde
Gloriantstraat,27,,,Alkmaar,1813LC,117,woonfunctie,Gloriantstraat 27   1813LC Alkmaar
Zwavertsweg,126,,G15,Hengelo,,16,overige gebruiksfunctie,Zwavertsweg 126  G15  Hengelo
Singelweg,11,,,Grijpskerke,4364 LA,542,woonfunctie,Singelweg 11   4364 LA Grijpskerke
Floris van Wevelikhovenstraat,5,,,Vollenhove,8325 GD,189,woonfunctie,Floris van Wevelikhovenstraat 5   8325 GD Vollenhove
Golflaan,3,,17,Heerenveen,,20,overige gebruiksfunctie,Golflaan 3  17  Heerenveen
Amnesty Internationalweg,3,,,Dordrecht,3318AZ,454,kantoorfunctie,Amnesty Internationalweg 3   3318AZ Dordrecht
Overhorsterweg,10,,,Voorthuizen,3781ND,174,bijeenkomstfunctie,Overhorsterweg 10   3781ND Voorthuizen
Schelfhoutstraat,19,,,Groningen,9744 JH,114,woonfunctie,Schelfhoutstraat 19   9744 JH Groningen
Apollostraat,507,,,Rotterdam,3054TC,71,woonfunctie,Apollostraat 507   3054TC Rotterdam
Nieuwersluisstraat,245,,,'s-Gravenhage,2546 RW,69,woonfunctie,Nieuwersluisstraat 245   2546 RW 's-Gravenhage
Buntlaan,71,,,Driebergen-Rijsenburg,3971JC,153,woonfunctie,Buntlaan 71   3971JC Driebergen-Rijsenburg
Smidse,47,,,Schaijk,5374AJ,109,woonfunctie,Smidse 47   5374AJ Schaijk
Dommelhoefstraat,10,,,Eindhoven,5613EM,3572,gezondheidszorgfunctie,Dommelhoefstraat 10   5613EM Eindhoven
Kinkerstraat,384,,2,Amsterdam,1053 GJ,34,woonfunctie,Kinkerstraat 384  2 1053 GJ Amsterdam
Merelweg,49,,,Nijverdal,7442 CA,167,woonfunctie,Merelweg 49   7442 CA Nijverdal
Peppelhage,7,,,Stadskanaal,9501 ZN,102,woonfunctie,Peppelhage 7   9501 ZN Stadskanaal
Narcissenstraat,2,D,,Lisserbroek,,15,overige gebruiksfunctie,Narcissenstraat 2 D   Lisserbroek
Stadionkade,137,,,Amsterdam,1076BT,74,woonfunctie,Stadionkade 137   1076BT Amsterdam
Everzwijnakker,7,,,Houten,3994GG,95,woonfunctie,Everzwijnakker 7   3994GG Houten
Ariensware,8,,,Zwolle,8014 TE,119,woonfunctie,Ariensware 8   8014 TE Zwolle
Zesstedenweg,135,,,Grootebroek,1613JC,144,woonfunctie,Zesstedenweg 135   1613JC Grootebroek
Valeriusstraat,171,,2,Amsterdam,1075 EV,126,woonfunctie,Valeriusstraat 171  2 1075 EV Amsterdam
Hogestraat,3,,,Druten,6651 BD,119,bijeenkomstfunctie,Hogestraat 3   6651 BD Druten
Tuinstraat,52,,,Zwolle,8011 HD,80,woonfunctie,Tuinstraat 52   8011 HD Zwolle
Prof. Teldersstraat,23,,,Heinenoord,3274CZ,102,woonfunctie,Prof. Teldersstraat 23   3274CZ Heinenoord
Wildenburgstraat,103,,,Leusden,3833HD,126,woonfunctie,Wildenburgstraat 103   3833HD Leusden
Lexmonderwaard,46,,,Lexmond,4128 EA,111,woonfunctie,Lexmonderwaard 46   4128 EA Lexmond
Joseph Ledelstraat,98,,,'s-Gravenhage,2518KM,47,industriefunctie,Joseph Ledelstraat 98   2518KM 's-Gravenhage
Houtweg,20,,,Ter Aar,2461GR,37,industriefunctie,Houtweg 20   2461GR Ter Aar
Harderwijker Bank,10,,,Bunschoten-Spakenburg,3752TP,86,woonfunctie,Harderwijker Bank 10   3752TP Bunschoten-Spakenburg
Ravensbos,1,H,,Valkenburg,6301PR,213,logiesfunctie,Ravensbos 1 H  6301PR Valkenburg
Knolwei,38,,,Schimmert,6333 DB,233,woonfunctie,Knolwei 38   6333 DB Schimmert
Buitenlust,1,,,Diemen,1111JH,122,woonfunctie,Buitenlust 1   1111JH Diemen
Akkerstraat,28,,,Amsterdam,1097XM,70,woonfunctie,Akkerstraat 28   1097XM Amsterdam
Anton de Haenstraat,44,,,'s-Gravenhage,2563 BS,81,woonfunctie,Anton de Haenstraat 44   2563 BS 's-Gravenhage
Pastoor van Breugelstraat,1,,001,Bosschenhoofd,,11,overige gebruiksfunctie,Pastoor van Breugelstraat 1  001  Bosschenhoofd
Bonaire,22,,,Zoetermeer,2721LJ,134,woonfunctie,Bonaire 22   2721LJ Zoetermeer
Hobbemastraat,48,,,Ede,6717 PP,104,woonfunctie,Hobbemastraat 48   6717 PP Ede
Bedumerstraat,157,,,Groningen,9716 BJ,89,woonfunctie,Bedumerstraat 157   9716 BJ Groningen
Dintelstraat,57,,2,Amsterdam,1078VR,85,woonfunctie,Dintelstraat 57  2 1078VR Amsterdam
Marijkeweg,26,,3B9,Wageningen,6709 PG,18,woonfunctie,Marijkeweg 26  3B9 6709 PG Wageningen
Stanleyweg,11,,,Goes,4462GN,2987,winkelfunctie,Stanleyweg 11   4462GN Goes
Gertrude Elionpad,11,,,Vlaardingen,3133LJ,54,woonfunctie,Gertrude Elionpad 11   3133LJ Vlaardingen
Rozemarijnhof,4,,,Schijndel,5482 PW,186,woonfunctie,Rozemarijnhof 4   5482 PW Schijndel
Krachtveld,37,,,Almere,1359KJ,183,woonfunctie,Krachtveld 37   1359KJ Almere
Beatrixstraat,39,,,Nederweert,6031 BB,139,woonfunctie,Beatrixstraat 39   6031 BB Nederweert
Thomas Jeffersonlaan,431,,,Rijswijk,2285AP,143,woonfunctie,Thomas Jeffersonlaan 431   2285AP Rijswijk
Silene,10,,,Kampen,8265GZ,115,woonfunctie,Silene 10   8265GZ Kampen
Schuttersstraat,7,,,Lierop,5715BH,141,woonfunctie,Schuttersstraat 7   5715BH Lierop
Rijnpoort,25,,,Nieuw-Vennep,2152RD,62,woonfunctie,Rijnpoort 25   2152RD Nieuw-Vennep
Speenkruidstraat,13,,,Heerhugowaard,1706 AS,168,woonfunctie,Speenkruidstraat 13   1706 AS Heerhugowaard
de Montestraat,9,,,Tubbergen,7651 BG,110,woonfunctie,de Montestraat 9   7651 BG Tubbergen
Kruidhof,29,,,Bergen op Zoom,4623BC,112,woonfunctie,Kruidhof 29   4623BC Bergen op Zoom
Freesialaan,20,,,Leende,5595 EN,121,woonfunctie,Freesialaan 20   5595 EN Leende
Annie Romein-Verschoorstraat,3,,,Eindhoven,5612 SH,108,woonfunctie,Annie Romein-Verschoorstraat 3   5612 SH Eindhoven
Louis Davidsstraat,97,,,'s-Gravenhage,2551EC,82,woonfunctie,Louis Davidsstraat 97   2551EC 's-Gravenhage
Kalmoesplantsoen,26,,,'s-Gravenhage,2548WV,128,woonfunctie,Kalmoesplantsoen 26   2548WV 's-Gravenhage
Calslaan,30,A,,Enschede,7522 MD,206,woonfunctie,Calslaan 30 A  7522 MD Enschede
Nachtwakershoeve,4,,,Apeldoorn,7326DG,143,woonfunctie,Nachtwakershoeve 4   7326DG Apeldoorn
Spengen,4,A,,Kockengen,3628EX,50,woonfunctie,Spengen 4 A  3628EX Kockengen
Westerwoud,35,,,Woudenberg,3931 DJ,67,woonfunctie,Westerwoud 35   3931 DJ Woudenberg
Wiepke Hofstraat,10,,21,Lemmer,8531 GN,55,gezondheidszorgfunctie,Wiepke Hofstraat 10  21 8531 GN Lemmer
Vreeswijkstraat,335,,,'s-Gravenhage,2546 AK,90,woonfunctie,Vreeswijkstraat 335   2546 AK 's-Gravenhage
Schaepmanlaan,184,,,Baarn,3741 VH,113,woonfunctie,Schaepmanlaan 184   3741 VH Baarn
Ir. F.W. Conradstraat,62,,,Nieuwegein,3433 AM,83,woonfunctie,Ir. F.W. Conradstraat 62   3433 AM Nieuwegein
Eind,1,a,,Roggel,6088NC,218,woonfunctie,Eind 1 a  6088NC Roggel
Spaarnestraat,54,,,Oost-Souburg,4388TL,123,woonfunctie,Spaarnestraat 54   4388TL Oost-Souburg
Sneeuwuil,14,,,Mierlo,5731XH,158,woonfunctie,Sneeuwuil 14   5731XH Mierlo
Torellistraat,22,,,Spijkenisse,3208 NG,95,woonfunctie,Torellistraat 22   3208 NG Spijkenisse
Lichterstraat,62,,,Amsterdam,1034 HP,76,woonfunctie,Lichterstraat 62   1034 HP Amsterdam
Feytsmastrjitte,1,,,Ferwert,9172 NR,134,woonfunctie,Feytsmastrjitte 1   9172 NR Ferwert
Schoutenstraat,58,,,Holten,7451AT,173,woonfunctie,Schoutenstraat 58   7451AT Holten
Spoorplein,20,,,Heerlen,6411 NZ,157,woonfunctie,Spoorplein 20   6411 NZ Heerlen
Scherpgras,22,,,Spijkenisse,3206 SL,118,woonfunctie,Scherpgras 22   3206 SL Spijkenisse
Gounodlaan,51,,,Tilburg,5049AE,201,woonfunctie,Gounodlaan 51   5049AE Tilburg
Van Riebeekstraat,132,,,Enschede,7535ZM,90,woonfunctie,Van Riebeekstraat 132   7535ZM Enschede
Boulevard de Wielingen,12,,,Cadzand,4506JH,186,woonfunctie,Boulevard de Wielingen 12   4506JH Cadzand
Graaf Janlaan,52,,,Amersfoort,3818 DZ,51,woonfunctie,Graaf Janlaan 52   3818 DZ Amersfoort
Frederiksveld,15,,,Nieuw-Vennep,2151LP,120,woonfunctie,Frederiksveld 15   2151LP Nieuw-Vennep
Talmastraat,102,,,Breda,4812 KE,130,woonfunctie,Talmastraat 102   4812 KE Breda
Lithse Dijk,36,,,Lith,5397 EC,228,woonfunctie,Lithse Dijk 36   5397 EC Lith
Bovenstraat,83,,,Hoeven,4741 SK,220,woonfunctie,Bovenstraat 83   4741 SK Hoeven
Slagterslaan,2,A,36,Berkhout,1647 CA,22,woonfunctie,Slagterslaan 2 A 36 1647 CA Berkhout
Pancratiusstraat,20,,,Heerlen,6411 KC,45,woonfunctie,Pancratiusstraat 20   6411 KC Heerlen
Buttingstraat,140,,,Hoensbroek,6431 JH,90,woonfunctie,Buttingstraat 140   6431 JH Hoensbroek
Stakenberg,14,,,Ede,6718DE,97,woonfunctie,Stakenberg 14   6718DE Ede
Pelikaanhof,52,,,Beverwijk,1945RT,61,woonfunctie,Pelikaanhof 52   1945RT Beverwijk
Moriondijk,2,,,Roosendaal,4706 LE,108,woonfunctie,Moriondijk 2   4706 LE Roosendaal
Marsdiep,32,,,Kaatsheuvel,5172AV,75,woonfunctie,Marsdiep 32   5172AV Kaatsheuvel
De Meent,9015,,,Odijk,,18,overige gebruiksfunctie,De Meent 9015    Odijk
Merellaan,1083,,,Maassluis,3145 GK,108,woonfunctie,Merellaan 1083   3145 GK Maassluis
Van Huessenleede,22,,,Barendrecht,2991 WR,212,woonfunctie,Van Huessenleede 22   2991 WR Barendrecht
Steeweg,43,,,Yerseke,4401 AN,184,industriefunctie,Steeweg 43   4401 AN Yerseke
Walakker,11,,,Opperdoes,1674ME,155,woonfunctie,Walakker 11   1674ME Opperdoes
Houtstraat,3,,,Waddinxveen,2741 NE,153,woonfunctie,Houtstraat 3   2741 NE Waddinxveen
Gershwinstraat,31,,,Zwijndrecht,3335 WJ,116,woonfunctie,Gershwinstraat 31   3335 WJ Zwijndrecht
Mahlerrode,20,,,Zoetermeer,2717CM,117,woonfunctie,Mahlerrode 20   2717CM Zoetermeer
Witte de Withstraat,49,A,,Rotterdam,3012BM,131,bijeenkomstfunctie,Witte de Withstraat 49 A  3012BM Rotterdam
Dorpsstraat,174,,,Zevenhuizen,2761 AJ,164,woonfunctie,Dorpsstraat 174   2761 AJ Zevenhuizen
Kweekerslaan,6,A,,Santpoort-Noord,2071 KA,151,woonfunctie,Kweekerslaan 6 A  2071 KA Santpoort-Noord
Burchtplein,2,,,Wassenaar,2242 GK,186,woonfunctie,Burchtplein 2   2242 GK Wassenaar
Marktstraat,99,,,Hoensbroek,6431LL,79,woonfunctie,Marktstraat 99   6431LL Hoensbroek
Hammarskjöldplaats,129,,,Rotterdam,3069 RA,89,woonfunctie,Hammarskjöldplaats 129   3069 RA Rotterdam
Hoge Rijndijk,184,A,,Leiden,2314AJ,81,woonfunctie,Hoge Rijndijk 184 A  2314AJ Leiden
Rhone,34,,,'s-Gravenhage,2491 AP,1826,industriefunctie,Rhone 34   2491 AP 's-Gravenhage
Hogelandseweg,93,G,72,Nijmegen,,20,overige gebruiksfunctie,Hogelandseweg 93 G 72  Nijmegen
de Fennen,61,,,Leeuwarden,8918CC,127,woonfunctie,de Fennen 61   8918CC Leeuwarden
Dokter Engelsoord,1,a,2,Maasbracht,6051 LE,23,woonfunctie,Dokter Engelsoord 1 a 2 6051 LE Maasbracht
Zernikedreef,15,,,Maassluis,3146 VL,122,woonfunctie,Zernikedreef 15   3146 VL Maassluis
Lindenlaan,1,,,Ossendrecht,4641 EZ,233,woonfunctie,Lindenlaan 1   4641 EZ Ossendrecht
Van Ravelingenstraat,12,,,Leiden,2332PW,93,woonfunctie,Van Ravelingenstraat 12   2332PW Leiden
Roos Vosstraat,10,,,Tiel,4003 ZD,102,woonfunctie,Roos Vosstraat 10   4003 ZD Tiel
Houtkade,5,C,,Goes,4463AC,145,industriefunctie,Houtkade 5 C  4463AC Goes
Medemblikstraat,275,,80,'s-Gravenhage,2547 GW,25,woonfunctie,Medemblikstraat 275  80 2547 GW 's-Gravenhage
Vughterhage,17,,,Vught,5263 BM,114,woonfunctie,Vughterhage 17   5263 BM Vught
Deken de Bruijnplein,15,,,Heeze,5591 CS,171,woonfunctie,Deken de Bruijnplein 15   5591 CS Heeze
Spechtstraat,5,,,Lisse,2162 HZ,123,woonfunctie,Spechtstraat 5   2162 HZ Lisse
Hullenbergweg,22,B,273,Amsterdam,1101 BL,64,woonfunctie,Hullenbergweg 22 B 273 1101 BL Amsterdam
Buitenweeren,25,,,Broek in Waterland,1151BE,99,woonfunctie,Buitenweeren 25   1151BE Broek in Waterland
Zwanendonk,55,,,Oosterhout,4907 ZH,102,woonfunctie,Zwanendonk 55   4907 ZH Oosterhout
Telefoonstraat,45,B,,Zuidlaren,9471 EL,113,woonfunctie,Telefoonstraat 45 B  9471 EL Zuidlaren
Egmondland,4,,,Den Hoorn,2635MW,149,woonfunctie,Egmondland 4   2635MW Den Hoorn
Leliënsingel,29,,,Geleen,6163CL,100,woonfunctie,Leliënsingel 29   6163CL Geleen
C.P.Tielestraat,28,A,02,Rotterdam,3023 TD,90,woonfunctie,C.P.Tielestraat 28 A 02 3023 TD Rotterdam
